Year;Region;Species;Code;TRW
1950;north;PISY;PISY03;0.706
1951;north;PISY;PISY03;1.034
1952;north;PISY;PISY03;1.286
1953;north;PISY;PISY03;0.991
1954;north;PISY;PISY03;0.899
1955;north;PISY;PISY03;1.155
1956;north;PISY;PISY03;0.899
1957;north;PISY;PISY03;0.869
1958;north;PISY;PISY03;1.197
1959;north;PISY;PISY03;0.952
1960;north;PISY;PISY03;0.863
1961;north;PISY;PISY03;1.186
1962;north;PISY;PISY03;0.58
1963;north;PISY;PISY03;0.736
1964;north;PISY;PISY03;1.016
1965;north;PISY;PISY03;0.79
1966;north;PISY;PISY03;0.854
1967;north;PISY;PISY03;0.935
1968;north;PISY;PISY03;1.363
1969;north;PISY;PISY03;1.105
1970;north;PISY;PISY03;1.035
1971;north;PISY;PISY03;1.113
1972;north;PISY;PISY03;0.908
1973;north;PISY;PISY03;1.175
1974;north;PISY;PISY03;1.082
1975;north;PISY;PISY03;0.876
1976;north;PISY;PISY03;1.315
1977;north;PISY;PISY03;1.171
1978;north;PISY;PISY03;0.85
1979;north;PISY;PISY03;0.819
1980;north;PISY;PISY03;1.143
1981;north;PISY;PISY03;1.054
1982;north;PISY;PISY03;0.965
1983;north;PISY;PISY03;1.168
1984;north;PISY;PISY03;0.961
1985;north;PISY;PISY03;1.335
1986;north;PISY;PISY03;0.89
1987;north;PISY;PISY03;0.925
1988;north;PISY;PISY03;0.789
1989;north;PISY;PISY03;1.011
1990;north;PISY;PISY03;1.098
1991;north;PISY;PISY03;0.621
1992;north;PISY;PISY03;1.297
1993;north;PISY;PISY03;1.002
1994;north;PISY;PISY03;0.675
1995;north;PISY;PISY03;0.867
1996;north;PISY;PISY03;0.969
1997;north;PISY;PISY03;1.063
1998;north;PISY;PISY03;0.601
1999;north;PISY;PISY03;1.389
1950;north;PISY;PISY02;0.497
1951;north;PISY;PISY02;0.73
1952;north;PISY;PISY02;0.973
1953;north;PISY;PISY02;1.023
1954;north;PISY;PISY02;0.814
1955;north;PISY;PISY02;1.194
1956;north;PISY;PISY02;0.922
1957;north;PISY;PISY02;0.911
1958;north;PISY;PISY02;1.037
1959;north;PISY;PISY02;1.136
1960;north;PISY;PISY02;1.183
1961;north;PISY;PISY02;1.14
1962;north;PISY;PISY02;0.8
1963;north;PISY;PISY02;0.918
1964;north;PISY;PISY02;1.275
1965;north;PISY;PISY02;0.692
1966;north;PISY;PISY02;1.068
1967;north;PISY;PISY02;0.872
1968;north;PISY;PISY02;0.973
1969;north;PISY;PISY02;0.986
1970;north;PISY;PISY02;0.899
1971;north;PISY;PISY02;1.003
1972;north;PISY;PISY02;0.895
1973;north;PISY;PISY02;1.062
1974;north;PISY;PISY02;0.88
1975;north;PISY;PISY02;0.812
1976;north;PISY;PISY02;1.083
1977;north;PISY;PISY02;1.347
1978;north;PISY;PISY02;0.906
1979;north;PISY;PISY02;0.759
1980;north;PISY;PISY02;0.915
1981;north;PISY;PISY02;0.876
1982;north;PISY;PISY02;0.818
1983;north;PISY;PISY02;1.062
1984;north;PISY;PISY02;0.686
1985;north;PISY;PISY02;1.172
1986;north;PISY;PISY02;0.818
1987;north;PISY;PISY02;0.925
1988;north;PISY;PISY02;1.061
1989;north;PISY;PISY02;1.183
1990;north;PISY;PISY02;1.152
1991;north;PISY;PISY02;0.589
1992;north;PISY;PISY02;1.31
1993;north;PISY;PISY02;1.242
1994;north;PISY;PISY02;0.67
1995;north;PISY;PISY02;1.064
1996;north;PISY;PISY02;1.281
1997;north;PISY;PISY02;1.178
1998;north;PISY;PISY02;0.767
1999;north;PISY;PISY02;1.142
1950;north;PISY;PISY01;0.699
1951;north;PISY;PISY01;1.124
1952;north;PISY;PISY01;1.193
1953;north;PISY;PISY01;1.162
1954;north;PISY;PISY01;0.881
1955;north;PISY;PISY01;1.038
1956;north;PISY;PISY01;1.113
1957;north;PISY;PISY01;0.872
1958;north;PISY;PISY01;0.954
1959;north;PISY;PISY01;1.105
1960;north;PISY;PISY01;1.117
1961;north;PISY;PISY01;0.895
1962;north;PISY;PISY01;0.642
1963;north;PISY;PISY01;0.893
1964;north;PISY;PISY01;1.285
1965;north;PISY;PISY01;0.758
1966;north;PISY;PISY01;1.145
1967;north;PISY;PISY01;0.719
1968;north;PISY;PISY01;0.959
1969;north;PISY;PISY01;1.193
1970;north;PISY;PISY01;1.183
1971;north;PISY;PISY01;1.271
1972;north;PISY;PISY01;1.108
1973;north;PISY;PISY01;1.275
1974;north;PISY;PISY01;1.005
1975;north;PISY;PISY01;0.758
1976;north;PISY;PISY01;1.081
1977;north;PISY;PISY01;1.08
1978;north;PISY;PISY01;0.72
1979;north;PISY;PISY01;0.722
1980;north;PISY;PISY01;1.002
1981;north;PISY;PISY01;1.017
1982;north;PISY;PISY01;0.931
1983;north;PISY;PISY01;0.982
1984;north;PISY;PISY01;0.844
1985;north;PISY;PISY01;1.064
1986;north;PISY;PISY01;0.745
1987;north;PISY;PISY01;1.248
1988;north;PISY;PISY01;1.112
1989;north;PISY;PISY01;0.806
1990;north;PISY;PISY01;1.028
1991;north;PISY;PISY01;0.709
1992;north;PISY;PISY01;1.257
1993;north;PISY;PISY01;1.189
1994;north;PISY;PISY01;0.932
1995;north;PISY;PISY01;1.077
1950;centre;PISY;PISY08;0.969
1951;centre;PISY;PISY08;0.71
1952;centre;PISY;PISY08;0.878
1953;centre;PISY;PISY08;0.949
1954;centre;PISY;PISY08;0.768
1955;centre;PISY;PISY08;1.255
1956;centre;PISY;PISY08;1.003
1957;centre;PISY;PISY08;1.034
1958;centre;PISY;PISY08;0.98
1959;centre;PISY;PISY08;1.381
1960;centre;PISY;PISY08;0.78
1961;centre;PISY;PISY08;1.118
1962;centre;PISY;PISY08;0.863
1963;centre;PISY;PISY08;0.748
1964;centre;PISY;PISY08;1.173
1965;centre;PISY;PISY08;0.833
1966;centre;PISY;PISY08;0.992
1967;centre;PISY;PISY08;0.984
1968;centre;PISY;PISY08;1.1
1969;centre;PISY;PISY08;0.839
1970;centre;PISY;PISY08;0.921
1971;centre;PISY;PISY08;1.084
1972;centre;PISY;PISY08;0.975
1973;centre;PISY;PISY08;0.969
1974;centre;PISY;PISY08;0.981
1975;centre;PISY;PISY08;0.962
1976;centre;PISY;PISY08;1.258
1977;centre;PISY;PISY08;1.185
1978;centre;PISY;PISY08;0.738
1979;centre;PISY;PISY08;0.884
1980;centre;PISY;PISY08;1.346
1981;centre;PISY;PISY08;0.958
1982;centre;PISY;PISY08;1.078
1983;centre;PISY;PISY08;1.176
1984;centre;PISY;PISY08;1.041
1985;centre;PISY;PISY08;1.044
1986;centre;PISY;PISY08;0.809
1987;centre;PISY;PISY08;0.971
1988;centre;PISY;PISY08;0.943
1989;centre;PISY;PISY08;0.983
1990;centre;PISY;PISY08;1.107
1991;centre;PISY;PISY08;0.806
1950;centre;PISY;PISY07;0.925
1951;centre;PISY;PISY07;1.018
1952;centre;PISY;PISY07;0.948
1953;centre;PISY;PISY07;0.897
1954;centre;PISY;PISY07;1.047
1955;centre;PISY;PISY07;0.902
1956;centre;PISY;PISY07;1.004
1957;centre;PISY;PISY07;1.19
1958;centre;PISY;PISY07;1.124
1959;centre;PISY;PISY07;1.176
1960;centre;PISY;PISY07;0.926
1961;centre;PISY;PISY07;0.989
1962;centre;PISY;PISY07;1.094
1963;centre;PISY;PISY07;0.862
1964;centre;PISY;PISY07;1.136
1965;centre;PISY;PISY07;0.872
1966;centre;PISY;PISY07;1.183
1967;centre;PISY;PISY07;1.037
1968;centre;PISY;PISY07;0.939
1969;centre;PISY;PISY07;0.97
1970;centre;PISY;PISY07;1.006
1971;centre;PISY;PISY07;1.024
1972;centre;PISY;PISY07;0.914
1973;centre;PISY;PISY07;0.886
1974;centre;PISY;PISY07;1.014
1975;centre;PISY;PISY07;1.332
1976;centre;PISY;PISY07;1.008
1977;centre;PISY;PISY07;1.094
1978;centre;PISY;PISY07;0.877
1979;centre;PISY;PISY07;1.071
1980;centre;PISY;PISY07;1.189
1981;centre;PISY;PISY07;0.889
1982;centre;PISY;PISY07;0.886
1983;centre;PISY;PISY07;0.843
1984;centre;PISY;PISY07;0.75
1985;centre;PISY;PISY07;0.993
1986;centre;PISY;PISY07;0.773
1987;centre;PISY;PISY07;0.882
1988;centre;PISY;PISY07;1.089
1989;centre;PISY;PISY07;0.93
1990;centre;PISY;PISY07;1.124
1991;centre;PISY;PISY07;0.811
1992;centre;PISY;PISY07;1.522
1993;centre;PISY;PISY07;0.977
1994;centre;PISY;PISY07;0.924
1995;centre;PISY;PISY07;0.899
1996;centre;PISY;PISY07;1.081
1997;centre;PISY;PISY07;1.175
1998;centre;PISY;PISY07;0.847
1999;centre;PISY;PISY07;1.124
1950;centre;PISY;PISY05;0.894
1951;centre;PISY;PISY05;1.053
1952;centre;PISY;PISY05;0.801
1953;centre;PISY;PISY05;0.822
1954;centre;PISY;PISY05;1.064
1955;centre;PISY;PISY05;0.625
1956;centre;PISY;PISY05;1.049
1957;centre;PISY;PISY05;0.798
1958;centre;PISY;PISY05;0.49
1959;centre;PISY;PISY05;1.192
1960;centre;PISY;PISY05;1.41
1961;centre;PISY;PISY05;0.772
1962;centre;PISY;PISY05;1.275
1963;centre;PISY;PISY05;1.336
1964;centre;PISY;PISY05;0.943
1965;centre;PISY;PISY05;0.844
1966;centre;PISY;PISY05;1.252
1967;centre;PISY;PISY05;0.814
1968;centre;PISY;PISY05;0.841
1969;centre;PISY;PISY05;1.046
1970;centre;PISY;PISY05;0.965
1971;centre;PISY;PISY05;1.014
1972;centre;PISY;PISY05;1.36
1973;centre;PISY;PISY05;0.932
1974;centre;PISY;PISY05;0.995
1975;centre;PISY;PISY05;1.4
1976;centre;PISY;PISY05;0.799
1977;centre;PISY;PISY05;1.212
1978;centre;PISY;PISY05;0.937
1979;centre;PISY;PISY05;0.908
1980;centre;PISY;PISY05;1.064
1981;centre;PISY;PISY05;1.099
1982;centre;PISY;PISY05;0.937
1983;centre;PISY;PISY05;0.749
1984;centre;PISY;PISY05;1.049
1985;centre;PISY;PISY05;1.201
1986;centre;PISY;PISY05;0.535
1987;centre;PISY;PISY05;0.905
1988;centre;PISY;PISY05;0.952
1989;centre;PISY;PISY05;0.688
1990;centre;PISY;PISY05;0.951
1991;centre;PISY;PISY05;0.834
1992;centre;PISY;PISY05;1.486
1993;centre;PISY;PISY05;0.999
1994;centre;PISY;PISY05;1.045
1995;centre;PISY;PISY05;0.681
1996;centre;PISY;PISY05;1.066
1997;centre;PISY;PISY05;1.149
1998;centre;PISY;PISY05;0.912
1999;centre;PISY;PISY05;1.154
1950;centre;PISY;PISY04;1.014
1951;centre;PISY;PISY04;1.169
1952;centre;PISY;PISY04;0.918
1953;centre;PISY;PISY04;1.078
1954;centre;PISY;PISY04;0.887
1955;centre;PISY;PISY04;1.135
1956;centre;PISY;PISY04;0.984
1957;centre;PISY;PISY04;1.04
1958;centre;PISY;PISY04;1.218
1959;centre;PISY;PISY04;1.117
1960;centre;PISY;PISY04;0.96
1961;centre;PISY;PISY04;1.042
1962;centre;PISY;PISY04;0.772
1963;centre;PISY;PISY04;0.834
1964;centre;PISY;PISY04;1.203
1965;centre;PISY;PISY04;0.819
1966;centre;PISY;PISY04;0.867
1967;centre;PISY;PISY04;0.951
1968;centre;PISY;PISY04;0.984
1969;centre;PISY;PISY04;1.108
1970;centre;PISY;PISY04;1.035
1971;centre;PISY;PISY04;0.975
1972;centre;PISY;PISY04;0.819
1973;centre;PISY;PISY04;1.329
1974;centre;PISY;PISY04;0.863
1975;centre;PISY;PISY04;1.003
1976;centre;PISY;PISY04;1.209
1977;centre;PISY;PISY04;0.866
1978;centre;PISY;PISY04;0.974
1979;centre;PISY;PISY04;0.94
1980;centre;PISY;PISY04;1.059
1981;centre;PISY;PISY04;1.045
1982;centre;PISY;PISY04;0.953
1983;centre;PISY;PISY04;1.131
1984;centre;PISY;PISY04;0.915
1985;centre;PISY;PISY04;1.133
1986;centre;PISY;PISY04;0.814
1987;centre;PISY;PISY04;1.057
1988;centre;PISY;PISY04;0.978
1989;centre;PISY;PISY04;0.913
1990;centre;PISY;PISY04;1.024
1991;centre;PISY;PISY04;0.868
1992;centre;PISY;PISY04;1.019
1993;centre;PISY;PISY04;1.227
1994;centre;PISY;PISY04;1.017
1995;centre;PISY;PISY04;1.043
1996;centre;PISY;PISY04;0.922
1997;centre;PISY;PISY04;0.888
1998;centre;PISY;PISY04;0.957
1999;centre;PISY;PISY04;1.11
1950;south;PISY;PISY09;0.685
1951;south;PISY;PISY09;0.648
1952;south;PISY;PISY09;0.837
1953;south;PISY;PISY09;1.031
1954;south;PISY;PISY09;0.928
1955;south;PISY;PISY09;1.282
1956;south;PISY;PISY09;0.953
1957;south;PISY;PISY09;1.131
1958;south;PISY;PISY09;1.199
1959;south;PISY;PISY09;0.958
1960;south;PISY;PISY09;0.937
1961;south;PISY;PISY09;1.237
1962;south;PISY;PISY09;1.037
1963;south;PISY;PISY09;0.737
1964;south;PISY;PISY09;1.144
1965;south;PISY;PISY09;0.83
1966;south;PISY;PISY09;1.062
1967;south;PISY;PISY09;0.69
1968;south;PISY;PISY09;0.929
1969;south;PISY;PISY09;0.91
1970;south;PISY;PISY09;1.136
1971;south;PISY;PISY09;0.984
1972;south;PISY;PISY09;0.893
1973;south;PISY;PISY09;1.384
1974;south;PISY;PISY09;0.951
1975;south;PISY;PISY09;0.804
1976;south;PISY;PISY09;1.271
1977;south;PISY;PISY09;0.849
1978;south;PISY;PISY09;1.098
1979;south;PISY;PISY09;0.943
1980;south;PISY;PISY09;1.097
1981;south;PISY;PISY09;1.005
1982;south;PISY;PISY09;0.972
1983;south;PISY;PISY09;1.047
1984;south;PISY;PISY09;0.852
1985;south;PISY;PISY09;1.053
1986;south;PISY;PISY09;1.077
1987;south;PISY;PISY09;1.007
1988;south;PISY;PISY09;0.844
1989;south;PISY;PISY09;1.012
1990;south;PISY;PISY09;1.086
1991;south;PISY;PISY09;0.977
1992;south;PISY;PISY09;1.124
1993;south;PISY;PISY09;0.943
1994;south;PISY;PISY09;0.949
1995;south;PISY;PISY09;1.061
1996;south;PISY;PISY09;0.951
1997;south;PISY;PISY09;1.172
1998;south;PISY;PISY09;0.929
1999;south;PISY;PISY09;0.945
1950;north;PINI;PINI01;1.123
1951;north;PINI;PINI01;0.718
1952;north;PINI;PINI01;1.13
1953;north;PINI;PINI01;1.124
1954;north;PINI;PINI01;1.185
1955;north;PINI;PINI01;1.03
1956;north;PINI;PINI01;0.719
1957;north;PINI;PINI01;0.737
1958;north;PINI;PINI01;0.886
1959;north;PINI;PINI01;1.435
1960;north;PINI;PINI01;1.236
1961;north;PINI;PINI01;0.976
1962;north;PINI;PINI01;0.839
1963;north;PINI;PINI01;1.158
1964;north;PINI;PINI01;1.15
1965;north;PINI;PINI01;0.679
1966;north;PINI;PINI01;1.237
1967;north;PINI;PINI01;0.979
1968;north;PINI;PINI01;0.998
1969;north;PINI;PINI01;0.907
1970;north;PINI;PINI01;0.935
1971;north;PINI;PINI01;1.119
1972;north;PINI;PINI01;1.001
1973;north;PINI;PINI01;1.026
1974;north;PINI;PINI01;0.995
1975;north;PINI;PINI01;1.089
1976;north;PINI;PINI01;1.106
1977;north;PINI;PINI01;1.713
1978;north;PINI;PINI01;0.836
1979;north;PINI;PINI01;0.966
1980;north;PINI;PINI01;0.661
1981;north;PINI;PINI01;0.707
1982;north;PINI;PINI01;1.223
1983;north;PINI;PINI01;0.926
1984;north;PINI;PINI01;0.947
1985;north;PINI;PINI01;1.235
1986;north;PINI;PINI01;0.778
1987;north;PINI;PINI01;1.038
1988;north;PINI;PINI01;1.237
1989;north;PINI;PINI01;0.884
1990;north;PINI;PINI01;1.191
1991;north;PINI;PINI01;0.516
1992;north;PINI;PINI01;1.274
1993;north;PINI;PINI01;0.85
1994;north;PINI;PINI01;0.884
1995;north;PINI;PINI01;0.778
1996;north;PINI;PINI01;1.407
1997;north;PINI;PINI01;0.661
1998;north;PINI;PINI01;0.925
1999;north;PINI;PINI01;1.183
1950;centre;PINI;PINI04;1.182
1951;centre;PINI;PINI04;1.039
1952;centre;PINI;PINI04;1.271
1953;centre;PINI;PINI04;0.841
1954;centre;PINI;PINI04;0.921
1955;centre;PINI;PINI04;0.992
1956;centre;PINI;PINI04;0.94
1957;centre;PINI;PINI04;0.967
1958;centre;PINI;PINI04;0.958
1959;centre;PINI;PINI04;1.225
1960;centre;PINI;PINI04;1.204
1961;centre;PINI;PINI04;1.12
1962;centre;PINI;PINI04;0.894
1963;centre;PINI;PINI04;0.797
1964;centre;PINI;PINI04;0.973
1965;centre;PINI;PINI04;0.824
1966;centre;PINI;PINI04;1.068
1967;centre;PINI;PINI04;0.752
1968;centre;PINI;PINI04;0.842
1969;centre;PINI;PINI04;0.811
1970;centre;PINI;PINI04;0.921
1971;centre;PINI;PINI04;0.882
1972;centre;PINI;PINI04;0.962
1973;centre;PINI;PINI04;1.178
1974;centre;PINI;PINI04;0.892
1975;centre;PINI;PINI04;1.259
1976;centre;PINI;PINI04;1.007
1977;centre;PINI;PINI04;1.178
1978;centre;PINI;PINI04;0.995
1979;centre;PINI;PINI04;1.181
1980;centre;PINI;PINI04;1.259
1981;centre;PINI;PINI04;0.592
1982;centre;PINI;PINI04;1.255
1983;centre;PINI;PINI04;0.906
1984;centre;PINI;PINI04;0.83
1985;centre;PINI;PINI04;1.233
1986;centre;PINI;PINI04;0.816
1987;centre;PINI;PINI04;1.215
1988;centre;PINI;PINI04;1.166
1950;centre;PINI;PINI05;0.994
1951;centre;PINI;PINI05;1.049
1952;centre;PINI;PINI05;1.252
1953;centre;PINI;PINI05;1.01
1954;centre;PINI;PINI05;0.908
1955;centre;PINI;PINI05;0.947
1956;centre;PINI;PINI05;1.182
1957;centre;PINI;PINI05;1.041
1958;centre;PINI;PINI05;0.873
1959;centre;PINI;PINI05;1.169
1960;centre;PINI;PINI05;1.262
1961;centre;PINI;PINI05;1.031
1962;centre;PINI;PINI05;0.868
1963;centre;PINI;PINI05;0.622
