Year;Region;Species;Code;TRW
1964;centre;PINI;PINI05;0.965
1965;centre;PINI;PINI05;0.869
1966;centre;PINI;PINI05;1.002
1967;centre;PINI;PINI05;0.689
1968;centre;PINI;PINI05;0.783
1969;centre;PINI;PINI05;0.906
1970;centre;PINI;PINI05;0.978
1971;centre;PINI;PINI05;0.977
1972;centre;PINI;PINI05;0.82
1973;centre;PINI;PINI05;1.148
1974;centre;PINI;PINI05;0.901
1975;centre;PINI;PINI05;1.176
1976;centre;PINI;PINI05;0.882
1977;centre;PINI;PINI05;1.059
1978;centre;PINI;PINI05;1.113
1979;centre;PINI;PINI05;1.102
1980;centre;PINI;PINI05;1.109
1981;centre;PINI;PINI05;0.721
1982;centre;PINI;PINI05;1.22
1983;centre;PINI;PINI05;0.868
1984;centre;PINI;PINI05;0.936
1985;centre;PINI;PINI05;1.2
1986;centre;PINI;PINI05;0.846
1987;centre;PINI;PINI05;1.007
1988;centre;PINI;PINI05;1.105
1989;centre;PINI;PINI05;0.969
1990;centre;PINI;PINI05;1.037
1991;centre;PINI;PINI05;0.9
1992;centre;PINI;PINI05;1.203
1993;centre;PINI;PINI05;1.2
1994;centre;PINI;PINI05;1.056
1995;centre;PINI;PINI05;0.915
1950;centre;PINI;PINI02;1.036
1951;centre;PINI;PINI02;1.05
1952;centre;PINI;PINI02;1.124
1953;centre;PINI;PINI02;0.919
1954;centre;PINI;PINI02;0.824
1955;centre;PINI;PINI02;1.034
1956;centre;PINI;PINI02;1.17
1957;centre;PINI;PINI02;0.881
1958;centre;PINI;PINI02;0.989
1959;centre;PINI;PINI02;1.266
1960;centre;PINI;PINI02;1.155
1961;centre;PINI;PINI02;1.188
1962;centre;PINI;PINI02;0.967
1963;centre;PINI;PINI02;0.678
1964;centre;PINI;PINI02;1.108
1965;centre;PINI;PINI02;0.767
1966;centre;PINI;PINI02;1.044
1967;centre;PINI;PINI02;0.651
1968;centre;PINI;PINI02;0.689
1969;centre;PINI;PINI02;0.952
1970;centre;PINI;PINI02;1.087
1971;centre;PINI;PINI02;0.908
1972;centre;PINI;PINI02;0.821
1973;centre;PINI;PINI02;1.344
1974;centre;PINI;PINI02;0.968
1975;centre;PINI;PINI02;1.131
1976;centre;PINI;PINI02;1.131
1977;centre;PINI;PINI02;1.175
1978;centre;PINI;PINI02;0.793
1979;centre;PINI;PINI02;1.204
1980;centre;PINI;PINI02;1.287
1981;centre;PINI;PINI02;0.788
1982;centre;PINI;PINI02;1.017
1983;centre;PINI;PINI02;0.94
1984;centre;PINI;PINI02;0.989
1985;centre;PINI;PINI02;1.122
1986;centre;PINI;PINI02;0.717
1987;centre;PINI;PINI02;1.18
1988;centre;PINI;PINI02;1.123
1950;centre;PINI;PINI06;0.737
1951;centre;PINI;PINI06;0.951
1952;centre;PINI;PINI06;1.391
1953;centre;PINI;PINI06;0.91
1954;centre;PINI;PINI06;0.974
1955;centre;PINI;PINI06;1.075
1956;centre;PINI;PINI06;1.068
1957;centre;PINI;PINI06;0.921
1958;centre;PINI;PINI06;0.974
1959;centre;PINI;PINI06;1.547
1960;centre;PINI;PINI06;1.221
1961;centre;PINI;PINI06;0.987
1962;centre;PINI;PINI06;0.804
1963;centre;PINI;PINI06;0.723
1964;centre;PINI;PINI06;1.232
1965;centre;PINI;PINI06;0.593
1966;centre;PINI;PINI06;1.061
1967;centre;PINI;PINI06;0.883
1968;centre;PINI;PINI06;0.798
1969;centre;PINI;PINI06;1.055
1970;centre;PINI;PINI06;1.053
1971;centre;PINI;PINI06;0.939
1972;centre;PINI;PINI06;0.815
1973;centre;PINI;PINI06;1.248
1974;centre;PINI;PINI06;1.024
1975;centre;PINI;PINI06;1.067
1976;centre;PINI;PINI06;1.033
1977;centre;PINI;PINI06;1.2
1978;centre;PINI;PINI06;1.029
1979;centre;PINI;PINI06;1.137
1980;centre;PINI;PINI06;1.209
1981;centre;PINI;PINI06;0.797
1982;centre;PINI;PINI06;1.031
1983;centre;PINI;PINI06;0.835
1984;centre;PINI;PINI06;0.855
1985;centre;PINI;PINI06;1.009
1986;centre;PINI;PINI06;0.863
1987;centre;PINI;PINI06;1.047
1988;centre;PINI;PINI06;1.132
1989;centre;PINI;PINI06;1.029
1990;centre;PINI;PINI06;0.807
1991;centre;PINI;PINI06;0.906
1992;centre;PINI;PINI06;1.088
1993;centre;PINI;PINI06;0.842
1994;centre;PINI;PINI06;0.842
1995;centre;PINI;PINI06;0.883
1996;centre;PINI;PINI06;1.151
1997;centre;PINI;PINI06;1.285
1998;centre;PINI;PINI06;1.022
1950;centre;PINI;PINI03;1.059
1951;centre;PINI;PINI03;1.249
1952;centre;PINI;PINI03;1.074
1953;centre;PINI;PINI03;0.938
1954;centre;PINI;PINI03;0.866
1955;centre;PINI;PINI03;0.69
1956;centre;PINI;PINI03;0.97
1957;centre;PINI;PINI03;0.962
1958;centre;PINI;PINI03;0.882
1959;centre;PINI;PINI03;1.347
1960;centre;PINI;PINI03;1.3
1961;centre;PINI;PINI03;0.603
1962;centre;PINI;PINI03;1.217
1963;centre;PINI;PINI03;1.083
1964;centre;PINI;PINI03;0.905
1965;centre;PINI;PINI03;0.74
1966;centre;PINI;PINI03;1.102
1967;centre;PINI;PINI03;0.768
1968;centre;PINI;PINI03;0.954
1969;centre;PINI;PINI03;0.86
1970;centre;PINI;PINI03;0.806
1971;centre;PINI;PINI03;0.948
1972;centre;PINI;PINI03;1.255
1973;centre;PINI;PINI03;0.77
1974;centre;PINI;PINI03;0.998
1975;centre;PINI;PINI03;1.228
1976;centre;PINI;PINI03;1.441
1977;centre;PINI;PINI03;1.618
1978;centre;PINI;PINI03;0.862
1979;centre;PINI;PINI03;0.9
1980;centre;PINI;PINI03;1.19
1981;centre;PINI;PINI03;0.789
1982;centre;PINI;PINI03;1.046
1983;centre;PINI;PINI03;0.718
1984;centre;PINI;PINI03;1.136
1985;centre;PINI;PINI03;0.656
1986;centre;PINI;PINI03;0.794
1987;centre;PINI;PINI03;0.85
1988;centre;PINI;PINI03;1.232
1989;centre;PINI;PINI03;0.874
1990;centre;PINI;PINI03;1.352
1991;centre;PINI;PINI03;0.696
1992;centre;PINI;PINI03;1.361
1993;centre;PINI;PINI03;0.892
1994;centre;PINI;PINI03;0.777
1995;centre;PINI;PINI03;0.881
1996;centre;PINI;PINI03;1.029
1997;centre;PINI;PINI03;1.187
1998;centre;PINI;PINI03;0.618
1999;centre;PINI;PINI03;1.089
1950;centre;PISY;PISY06;0.999
1951;centre;PISY;PISY06;0.969
1952;centre;PISY;PISY06;0.985
1953;centre;PISY;PISY06;0.74
1954;centre;PISY;PISY06;1.198
1955;centre;PISY;PISY06;0.955
1956;centre;PISY;PISY06;1.026
1957;centre;PISY;PISY06;1.127
1958;centre;PISY;PISY06;1.054
1959;centre;PISY;PISY06;1.27
1960;centre;PISY;PISY06;0.857
1961;centre;PISY;PISY06;1.075
1962;centre;PISY;PISY06;0.868
1963;centre;PISY;PISY06;0.742
1964;centre;PISY;PISY06;1.148
1965;centre;PISY;PISY06;0.801
1966;centre;PISY;PISY06;1.112
1967;centre;PISY;PISY06;1.009
1968;centre;PISY;PISY06;1.095
1969;centre;PISY;PISY06;1.016
1970;centre;PISY;PISY06;0.952
1971;centre;PISY;PISY06;0.943
1972;centre;PISY;PISY06;0.827
1973;centre;PISY;PISY06;1.125
1974;centre;PISY;PISY06;0.822
1975;centre;PISY;PISY06;1.135
1976;centre;PISY;PISY06;0.895
1977;centre;PISY;PISY06;0.924
1978;centre;PISY;PISY06;0.955
1979;centre;PISY;PISY06;1.129
1980;centre;PISY;PISY06;1.259
1981;centre;PISY;PISY06;1.049
1982;centre;PISY;PISY06;1.134
1983;centre;PISY;PISY06;1.211
1984;centre;PISY;PISY06;0.935
1985;centre;PISY;PISY06;1.024
1986;centre;PISY;PISY06;0.657
1987;centre;PISY;PISY06;1.159
1988;centre;PISY;PISY06;1.146
1989;centre;PISY;PISY06;1.022
1990;centre;PISY;PISY06;1.077
1991;centre;PISY;PISY06;0.869
1992;centre;PISY;PISY06;1.057
1993;centre;PISY;PISY06;1.216
1994;centre;PISY;PISY06;1.086
1995;centre;PISY;PISY06;0.65
1996;centre;PISY;PISY06;0.857
1997;centre;PISY;PISY06;1.01
1998;centre;PISY;PISY06;1.034
1999;centre;PISY;PISY06;0.851
1950;south;PINI;PINI10;0.79
1951;south;PINI;PINI10;0.94
1952;south;PINI;PINI10;1.257
1953;south;PINI;PINI10;1
1954;south;PINI;PINI10;0.855
1955;south;PINI;PINI10;0.999
1956;south;PINI;PINI10;0.992
1957;south;PINI;PINI10;1.099
1958;south;PINI;PINI10;1.169
1959;south;PINI;PINI10;1.145
1960;south;PINI;PINI10;1.265
1961;south;PINI;PINI10;0.952
1962;south;PINI;PINI10;0.973
1963;south;PINI;PINI10;0.748
1964;south;PINI;PINI10;1.226
1965;south;PINI;PINI10;0.609
1966;south;PINI;PINI10;0.846
1967;south;PINI;PINI10;0.908
1968;south;PINI;PINI10;0.95
1969;south;PINI;PINI10;0.869
1970;south;PINI;PINI10;1.039
1971;south;PINI;PINI10;0.766
1972;south;PINI;PINI10;0.863
1973;south;PINI;PINI10;1.185
1974;south;PINI;PINI10;0.68
1975;south;PINI;PINI10;0.925
1976;south;PINI;PINI10;0.839
1977;south;PINI;PINI10;1.404
1978;south;PINI;PINI10;1.126
1979;south;PINI;PINI10;0.87
1980;south;PINI;PINI10;1.332
1981;south;PINI;PINI10;0.827
1982;south;PINI;PINI10;1.057
1983;south;PINI;PINI10;0.941
1984;south;PINI;PINI10;1.078
1985;south;PINI;PINI10;1.119
1986;south;PINI;PINI10;0.891
1987;south;PINI;PINI10;0.87
1988;south;PINI;PINI10;0.871
